cof_name,cof_taste,cof_pic,cof_description
Vietnam - Robusta,Strong,https://coffeepic.s3-us-west-1.amazonaws.com/1.png,"We can say with some degree of confidence the only thing not affected by the war in Vietnam was coffee. In Vietnam, people prefer the Robusta coffee bean with a strong taste. In fact, Vietnam can be said to be the native land of Robusta. Vietnam is among top coffee exporters in the world."
Indonesia - Robusta & Arabica,Normal,https://coffeepic.s3-us-west-1.amazonaws.com/2.png,"Indonesia, which we frequently hear associated with interesting coffee types, produces 660,000,000 kg of coffee per year. Although quality and taste pale in comparison to Brazil and Colombia, it has an important place in global coffee production."
WelBrazil - Arabica,"Sweeter, Softer",https://coffeepic.s3-us-west-1.amazonaws.com/3.png,"As you know, Brazil is one of the top coffee producing countries. In Brazil, 2,594,100 tons of coffee was produced in 2016. Among the reasons for the coffee grown in Brazil being so tasty are the wide production areas and the premium quality of the product. The coffee produced in Brazil is often preferred because it has low acidity."
India - Arabica & Robusta,Soft,https://coffeepic.s3-us-west-1.amazonaws.com/4.png,Arabica and Robusta coffee beans are grown abundantly in India. The much renowned coffee beans grown in the south region of the country are known for their soft taste and high levels of acidity.
Colombia - Arabica,Sweeter,https://coffeepic.s3-us-west-1.amazonaws.com/5.png,"Colombia, which claims a fair share of coffee production with 810,000,000 kg per year, is just behind Brazil in terms of taste with its Arabica coffee bean. Among the delicious coffee types of Colombia are Extra and Supremo."
Ethiopia - Arabica,Softer,https://coffeepic.s3-us-west-1.amazonaws.com/6.png,"The coffee culture in Ethiopia dates back to the 800s A.D. Even historical findings show that the homeland of coffee is Ethiopia. According to a rumor, goats eating coffee beans in ancient times used to be observed by the dervishes. And the dervishes boiled the juice of the fruit the goats ate and drank it. Ethiopia, which produces 384,000,000 kg of coffee per year, has prized coffee trees that yield delicious coffee."
Uganda - Arabica & Robusta,Stronger,https://coffeepic.s3-us-west-1.amazonaws.com/7.png,Ugandan coffee resembles African coffee in terms of its aroma and wine-like acidity. But it is not as popular as Kenyan or Ethiopian coffee. Most of the coffee produced is exported which contributes significantly to the economy. Among the important types of coffee produced in Uganda is Bugishu.
Arabica,Softer,https://coffeepic.s3-us-west-1.amazonaws.com/8.png,Liberica is a low yield type of coffee compared to Arabica and Robusta.
Robusta,Strong,https://coffeepic.s3-us-west-1.amazonaws.com/9.png,"This type of coffee, which contains 2.5% more caffeine than other types, has a pretty strong taste."
Liberica,Softer,https://coffeepic.s3-us-west-1.amazonaws.com/10.png,This coffee bean with low caffeine and a smoother taste is aromatic and delicious. 80% of the coffee in the world is produced from these types of beans.
